Sport,SportID
Aquatics,1
Archery,2
Athletics,3
Badminton,4
Baseball,5
Basketball,6
Basque Pelota,7
Biathlon,8
Bobsleigh,9
Boxing,10
Canoe / Kayak,11
Cricket,12
Croquet,13
Curling,14
Cycling,15
Equestrian,16
Fencing,17
Football,18
Golf,19
Gymnastics,20
Handball,21
Hockey,22
Ice Hockey,23
Jeu de paume,24
Judo,25
Lacrosse,26
Luge,27
Modern Pentathlon,28
Polo,29
Rackets,30
Roque,31
Rowing,32
Rugby,33
Sailing,34
Shooting,35
Skating,36
Skiing,37
Softball,38
Table Tennis,39
Taekwondo,40
Tennis,41
Triathlon,42
Tug of War,43
Volleyball,44
Water Motorsports,45
Weightlifting,46
Wrestling,47